Year,Month,ProductCategory,target
2016,1,WomenClothing,3052.67
2016,2,WomenClothing,3657.67
2016,3,WomenClothing,4305.67
2016,4,WomenClothing,3361.67
2016,5,WomenClothing,4424.67
2016,6,WomenClothing,3910.67
2016,7,WomenClothing,3828.67
2016,8,WomenClothing,3908.67
2016,9,WomenClothing,3892.67
2016,10,WomenClothing,4383.67
2016,11,WomenClothing,4412.67
2016,12,WomenClothing,5885.67
2016,1,MenClothing,533.3862
2016,2,MenClothing,554.5238
2016,3,MenClothing,627.6198
2016,4,MenClothing,697.7852
2016,5,MenClothing,734.8178
2016,6,MenClothing,669.2145
2016,7,MenClothing,615.3378
2016,8,MenClothing,654.1645
2016,9,MenClothing,646.051
2016,10,MenClothing,727.6816
2016,11,MenClothing,699.9372
2016,12,MenClothing,1011.9492
2016,1,OtherClothing,1300.973
2016,2,OtherClothing,1301.286
2016,3,OtherClothing,1430.024
2016,4,OtherClothing,1362.757
2016,5,OtherClothing,1412.523
2016,6,OtherClothing,1421.382
2016,7,OtherClothing,1352.237
2016,8,OtherClothing,1428.603
2016,9,OtherClothing,1272.887
2016,10,OtherClothing,1351.974
2016,11,OtherClothing,1508.398
2016,12,OtherClothing,1852.535
